review_id,reviewer_slot,should_interrupt,decision_confidence_1_5,timeliness_1_5,correctness_1_5,specificity_1_5,actionability_1_5,groundedness_1_5,plan_consistency_1_5,conciseness_1_5,safety_1_5,generic_flag,hallucination_flag,unsafe_flag,primary_error_type,notes,session_id,session_revision,confirmed_at
U0-0001,A,yes,4,2,,,,,,,,,,,,纸板已经裁剪完毕,766a6be2a0a9a3fe-88166765,1,2026-07-17T04:31:05+00:00
U0-0002,A,yes,4,4,1,2,1,3,1,5,3,no,no,no,stale,,359ed9ce38fdf4dc-f6d09774,1,2026-07-17T04:51:17+00:00
U0-0110,A,yes,5,5,1,1,1,1,1,1,3,yes,no,no,generic,,359ed9ce38fdf4dc-f6d09774,1,2026-07-17T04:51:17+00:00
U0-0003,A,yes,5,5,1,1,1,1,1,1,3,yes,no,no,generic,,abb677e14413b086-0421ce11,1,2026-07-17T04:35:37+00:00
U0-0004,A,yes,5,4,,,,,,,,,,,,,99a3ca6d27786917-60ad730d,1,2026-07-17T04:47:29+00:00
U0-0005,A,yes,5,5,5,3,4,5,5,4,4,no,no,no,none,,542fdfa17f6fa982-52f6842f,1,2026-07-17T04:49:43+00:00
U0-0006,A,no,5,1,1,1,1,1,1,3,3,yes,no,no,generic,,0028bee556249cd3-2ba386f9,1,2026-07-17T04:56:50+00:00
U0-0007,A,yes,4,4,2,2,2,2,2,2,2,no,no,no,other,,62c5f025661b0e9e-31771049,1,2026-07-17T05:02:41+00:00
U0-0008,A,no,5,3,1,1,1,2,1,1,3,yes,no,no,generic,,9bee20d4cc3565da-dc51a7ef,1,2026-07-17T05:06:06+00:00
U0-0009,A,yes,5,4,2,4,2,2,1,4,4,no,no,no,stale,,c2014f26905b8ebc-9bdd9c8d,1,2026-07-17T04:58:08+00:00
U0-0010,A,no,3,4,,,,,,,,,,,,,8787ee2c88cd53dd-018d153e,1,2026-07-17T06:07:44+00:00
U0-0011,A,yes,5,4,,,,,,,,,,,,,6d839f832037b10b-cfa93deb,1,2026-07-17T06:07:04+00:00
U0-0012,A,yes,3,2,,,,,,,,,,,,,7ed9ed16b76f4750-425f877e,1,2026-07-17T06:08:36+00:00
U0-0013,A,yes,4,2,,,,,,,,,,,,,83cc5bd425be68a0-aa8c82ab,1,2026-07-17T06:11:44+00:00
U0-0024,A,no,5,1,1,2,1,1,1,3,1,no,yes,no,premature,,83cc5bd425be68a0-aa8c82ab,1,2026-07-17T06:11:44+00:00
U0-0014,A,no,4,4,,,,,,,,,,,,,0a970d7f75d8b8d3-a6dcaa96,1,2026-07-17T06:12:42+00:00
U0-0015,A,yes,4,4,1,1,2,2,2,3,4,yes,no,no,generic,,113b52b758726ddb-7de65f35,1,2026-07-17T06:13:51+00:00
U0-0016,A,yes,3,4,,,,,,,,,,,,,37d115699f18ee8c-86a6896b,1,2026-07-17T06:14:14+00:00
U0-0017,A,yes,4,4,1,1,1,2,2,3,4,yes,no,no,generic,,51c154734fb81c60-4593b1d2,1,2026-07-17T06:14:58+00:00
U0-0018,A,no,4,2,1,1,1,2,1,3,3,yes,no,no,generic,,99eb6e68af1b3d37-81d2a517,1,2026-07-17T06:15:54+00:00
U0-0019,A,no,4,4,,,,,,,,,,,,,59ab05ffd855d744-0d0abaa9,1,2026-07-17T06:16:15+00:00
U0-0020,A,no,3,3,1,1,2,2,2,3,4,yes,no,no,generic,,14c11936417182ad-5dba742e,1,2026-07-17T06:17:31+00:00
U0-0043,A,yes,4,4,1,1,1,2,2,3,4,yes,no,no,generic,,9e587b74180f1c94-7bcd554f,1,2026-07-17T06:18:53+00:00
U0-0021,A,no,5,1,1,2,1,1,1,3,3,no,yes,no,hallucination,,9e587b74180f1c94-7bcd554f,1,2026-07-17T06:18:53+00:00
U0-0149,A,no,3,2,3,4,2,4,2,3,4,no,no,no,wrong_timing,,9d573b5e8e238353-d089e4c8,1,2026-07-17T06:21:49+00:00
U0-0022,A,yes,4,4,1,1,2,2,2,3,4,yes,no,no,generic,,9d573b5e8e238353-d089e4c8,1,2026-07-17T06:21:49+00:00
U0-0023,A,no,4,1,2,3,1,1,1,4,1,no,yes,yes,hallucination,,14e98d6cd1072bfc-08299b90,1,2026-07-17T06:23:50+00:00
U0-0025,A,no,5,1,1,3,1,2,1,3,1,no,yes,yes,unsafe,,1862206fbd777a04-c37a8927,1,2026-07-17T06:26:43+00:00
