review_id,pair_id,candidate,reviewer_slot,correctness_1_5,specificity_1_5,actionability_1_5,groundedness_1_5,plan_consistency_1_5,conciseness_1_5,safety_1_5,generic_flag,hallucination_flag,premature_completion_flag,unsafe_flag,primary_error_type,notes,session_id,session_revision,confirmed_at
U1-Handyman-S03-1_second-A,U1-Handyman-S03-1_second,A,A,1,1,1,2,2,3,4,no,no,no,no,other,空正文,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-1_second-B,U1-Handyman-S03-1_second,B,A,1,1,1,2,2,3,3,yes,no,no,yes,generic,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-2-4-A,U1-Handyman-S03-2-4,A,A,1,1,1,1,1,3,2,yes,no,no,no,generic,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-2-4-B,U1-Handyman-S03-2-4,B,A,3,4,2,4,3,5,4,no,no,no,no,stale,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-5-9-A,U1-Handyman-S03-5-9,A,A,1,1,1,1,1,3,3,no,no,no,yes,generic,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-5-9-B,U1-Handyman-S03-5-9,B,A,3,4,2,4,2,4,4,no,no,no,no,stale,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-10plus-A,U1-Handyman-S03-10plus,A,A,2,2,2,3,2,3,4,no,no,no,no,stale,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S03-10plus-B,U1-Handyman-S03-10plus,B,A,1,1,1,1,2,3,3,yes,no,no,no,generic,,f7d1a1243e760c2d-e7307e3a,1,2026-07-18T13:04:18+00:00
U1-Handyman-S04-1_second-A,U1-Handyman-S04-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S04-1_second-B,U1-Handyman-S04-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S04-2-4-A,U1-Handyman-S04-2-4,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S04-2-4-B,U1-Handyman-S04-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S04-5-9-A,U1-Handyman-S04-5-9,A,A,3,3,2,5,3,3,5,no,no,no,no,wrong_action,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S04-5-9-B,U1-Handyman-S04-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
